source,cited,citation_analysis
11179655,32964828,positive
11179655,34095858,positive
11179655,34095858,neither
11179655,37152838,positive
11179655,37152838,neither
11179655,34693967,positive
11179655,34693967,neither
11179655,36292283,positive
11179655,36292283,neither
11179655,32908344,positive
11179655,34921354,positive
11179655,34921354,neither
11179655,35162772,positive
11179655,35162772,neither
11179655,20173052,positive
11179655,20173052,neither
11179655,27998372,positive
11179655,27998372,neither
11179655,34325821,positive
11179655,34325821,negative
11179655,34629654,positive
11179655,34629654,neither
5530064,20531352,positive
5530064,20531352,negative
5530064,12547866,positive
5530064,12547866,neither
5530064,19910503,positive
5530064,19910503,negative
5530064,26687279,positive
5530064,26687279,neither
5530064,21344054,positive
5530064,19481481,positive
5530064,19481481,neither
5530064,11516766,positive
5530064,11516766,neither
5530064,23497828,positive
5530064,23497828,neither
5530064,22960269,positive
5530064,22960269,neither
5530064,15586778,positive
5530064,15586778,neither
5530064,20531352,neither
5530064,9720852,positive
5530064,19502545,positive
5530064,12415321,positive
5530064,12415321,neither
5530064,24179309,positive
5530064,20585000,positive
5530064,20585000,neither
5530064,17512799,positive
5530064,17512799,neither
5530064,10543671,positive
5530064,10543671,neither
5530064,19641160,positive
5530064,19641160,neither
5530064,15451917,positive
5530064,15451917,neither
5530064,16249549,positive
5530064,16249549,neither
5530064,20692606,positive
5530064,23729940,positive
5530064,23729940,neither
5530064,14655910,positive
5530064,20175406,positive
5530064,20175406,neither
5530064,23419741,positive
5530064,23419741,neither
5530064,21411507,positive
5530064,21411507,neither
5530064,15851636,positive
5530064,9727886,positive
5530064,9727886,neither
5530064,12519823,positive
5530064,12519823,neither
5530064,9415946,positive
5530064,9415946,neither
5530064,18071579,positive
5530064,12823638,positive
5530064,12823638,neither
5530064,15645205,positive
5530064,15645205,neither
5530064,14694011,positive
5530064,14694011,neither
5530064,17597542,positive
5530064,17597542,neither
5530064,15701215,positive
5530064,15701215,neither
5530064,24179309,neither
5628687,8675924,positive
5628687,8675924,neither
5628687,19233062,positive
5628687,19233062,neither
5628687,20219426,positive
5628687,20219426,neither
5628687,19246707,positive
5628687,19246707,neither
5628687,10682939,positive
5628687,10682939,neither
5628687,12679966,positive
5628687,1798888,positive
5628687,9415942,positive
5628687,9415942,neither
5628687,22467194,positive
5628687,22467194,neither
5628687,26612511,positive
5628687,26612511,neither
5628687,15222993,positive
5628687,15222993,neither
5628687,26345497,positive
5628687,26345497,neither
5628687,1512391,positive
5628687,1798888,neither
5628687,7701181,positive
5628687,7701181,neither
5628687,1519015,positive
5628687,1519015,neither
5628687,20419135,positive
5628687,20419135,negative
5628687,20563592,positive
5628687,20563592,neither
5628687,2394913,positive
5628687,8178033,positive
5628687,8456235,positive
5628687,8456235,neither
10259600,32246787,positive
10259600,32246787,neither
10259600,36029756,positive
10259600,35643121,positive
10259600,35643121,neither
10259600,33631710,positive
10259600,35115852,positive
10259600,35115852,neither
10259600,33547703,positive
10259600,33547703,neither
10259600,33959080,positive
10259600,33959080,neither
10259600,33631710,neither
10259600,34827374,positive
10259600,34827374,neither
10259600,34159658,positive
10259600,34159658,neither
10259600,34247124,positive
10259600,34247124,neither
10259600,15680294,positive
10259600,35409540,positive
10259600,35409540,neither
10259600,34588830,positive
10259600,34588830,neither
10259600,34288197,positive
10259600,15175092,positive
10259600,15175092,neither
10259600,32985043,positive
10259600,32985043,neither
10259600,31727433,positive
10259600,31727433,neither
10259600,11902430,positive
10259600,11902430,neither
10259600,27100372,positive
10259600,27100372,neither
10259600,19900715,positive
10259600,19900715,neither
10259600,21203379,positive
10259600,21203379,neither
10259600,35417930,positive
10259600,35417930,neither
10259600,31569467,positive
10259600,31569467,neither
10259600,18355162,positive
10259600,18355162,neither
10259600,36052103,positive
10259600,36052103,neither
10259600,28434101,positive
10259600,28434101,neither
10259600,11729023,positive
10259600,11729023,neither
10259600,32410272,positive
10259600,32410272,neither
10259600,32853913,positive
10259600,32853913,neither
11512559,12531050,positive
11512559,12531050,neither
11512559,8652329,positive
11512559,8652329,neither
11512559,22831887,positive
11512559,22831887,neither
11512559,31609228,positive
11512559,31609228,neither
11512559,31609229,positive
11512559,31609229,neither
11512559,34280784,positive
11512559,29120927,positive
11512559,29120927,neither
11512559,34280784,neither
11512559,28359259,positive
11512559,28359259,neither
11512559,36773659,positive
11512559,36773659,neither
11512559,15166550,positive
11512559,18988836,positive
11512559,18988836,neither
11512559,34418064,positive
11512559,28676745,positive
11512559,28676745,neither
11512559,26130804,positive
11512559,31815822,positive
11512559,28162920,positive
11512559,28162920,neither
11512559,31207606,positive
11512559,31207606,neither
8318215,30814686,positive
8318215,30814686,neither
8318215,16926275,positive
8318215,16926275,neither
8318215,19398424,positive
8318215,22763589,positive
8318215,22763589,negative
8318215,22250780,positive
8318215,22250780,neither
8318215,26224201,positive
8318215,26224201,neither
8318215,20545838,positive
8318215,17056861,positive
8318215,17321728,positive
8318215,17321728,neither
8318215,20202954,positive
8318215,31970714,positive
8318215,31970714,neither
8318215,12702031,positive
8318215,12702031,neither
8318215,11146705,positive
8318215,11146705,neither
8318215,26724520,positive
8318215,29630921,positive
8318215,29630921,neither
8318215,30107483,positive
8318215,30107483,neither
8318215,23620691,positive
8318215,23620691,negative
8318215,23479616,positive
8318215,23479616,neither
8318215,17167474,positive
8318215,17167474,neither
8318215,1382300,positive
8318215,19444258,positive
8318215,19444258,neither
8318215,17308390,positive
8318215,17308390,neither
8318215,25991926,positive
8318215,25991926,neither
8318215,25699635,positive
8318215,28054298,positive
8318215,28054298,negative
8318215,28054298,neither
8318215,19955752,positive
8318215,19955752,neither
8318215,11347869,positive
8318215,15586779,positive
8318215,15586779,neither
8318215,12127178,positive
8318215,19487320,positive
8318215,19487320,neither
8318215,8552926,positive
8318215,8552926,neither
8318215,25644747,positive
8318215,26156950,positive
8318215,26156950,neither
8318215,18198800,positive
8318215,2748771,positive
8318215,2748771,neither
8318215,21342424,positive
8318215,23721120,positive
8318215,19276851,positive
8318215,18635884,positive
8318215,18635884,neither
8318215,9588623,positive
8318215,9588623,neither
8318215,26484953,positive
8318215,26484953,neither
8318215,29073398,positive
8318215,23675517,positive
8318215,23675517,neither
8318215,25502450,positive
8318215,29073398,neither
8318215,31249843,positive
8318215,31249843,neither
8318215,31263172,positive
8318215,31263172,neither
8318215,20614855,positive
8318215,20614855,neither
8318215,33725823,positive
8318215,33725823,neither
8318215,26224201,negative
8318215,24933244,positive
8318215,24854821,positive
8318215,24854821,neither
8318215,23620691,neither
8318215,27584008,positive
8318215,27584008,neither
8318215,28818457,positive
8318215,28818457,neither
8318215,22473743,positive
8318215,22473743,negative
8318215,27903953,positive
8318215,30335476,positive
8318215,30335476,neither
8318215,30660070,positive
8318215,31970714,negative
8318215,22202016,positive
8318215,22202016,neither
10590115,28416048,positive
10590115,28416048,neither
10590115,31300334,positive
10590115,31300334,neither
10590115,20936885,positive
10590115,20936885,neither
10590115,24060978,positive
10590115,24060978,neither
10590115,29853491,positive
10590115,29853491,neither
10590115,27732789,positive
10590115,27732789,neither
10590115,26414380,positive
10590115,26414380,neither
10590115,31087023,positive
10590115,31087023,neither
10590115,23257990,positive
10590115,23257990,neither
10590115,19186102,positive
10590115,19186102,neither
10590115,22956642,positive
10590115,22956642,neither
10590115,22965273,positive
10590115,22965273,neither
10590115,31049990,positive
10590115,31049990,neither
10590115,1798888,positive
10590115,1798888,negative
10590115,26378880,positive
10590115,26378880,neither
10590115,20143278,positive
10590115,20143278,neither
10590115,12034649,positive
10590115,12034649,neither
10590115,15539715,positive
10590115,15539715,neither
10590115,11225716,positive
10590115,11225716,neither
10590115,21606442,positive
10590115,18684008,positive
10590115,18684008,neither
10590115,25560730,positive
10590115,25560730,neither
10590115,3203132,positive
10590115,3203132,neither
10590115,25846097,positive
10590115,18224558,positive
10590115,18224558,neither
10590115,19036144,positive
10590115,19036144,neither
10590115,27919588,positive
10590115,27919588,neither
10590115,11037826,positive
10590115,11037826,neither
10590115,18431117,positive
10590115,30724975,positive
10590115,30724975,neither
10590115,27599985,positive
10590115,27599985,neither
10590115,20357144,positive
10590115,20357144,neither
10590115,26599791,positive
10590115,26599791,neither
10590115,10507956,positive
10590115,10507956,neither
10590115,31523252,positive
10590115,31523252,neither
10590115,30746195,positive
10590115,15120883,positive
11192637,34229295,positive
11192637,11742923,positive
11192637,11742923,neither
11192637,29352360,positive
11192637,29352360,neither
11192637,24061345,positive
11192637,24401051,positive
11192637,24401051,neither
11192637,20673741,positive
11192637,20673741,neither
11192637,36671790,positive
11192637,37589148,positive
11192637,37589148,neither
11192637,36671790,neither
11192637,37560883,positive
11192637,11438246,positive
11192637,11438246,neither
11192637,33316830,positive
11192637,26739960,positive
11192637,20525657,positive
11192637,20525657,neither
11192637,30420826,positive
11192637,30420826,neither
11192637,24293765,positive
11192637,24293765,neither
11192637,37560883,neither
11192637,34762105,positive
11192637,34762105,neither
7567547,32155789,positive
7567547,32155789,neither
7567547,32693067,positive
7567547,32693067,neither
7567547,30672069,positive
7567547,30672069,neither
7567547,25729341,positive
7567547,25729341,neither
7567547,17466262,positive
7567547,17466262,negative
7567547,27003136,positive
7567547,27003136,neither
7567547,28171850,positive
7567547,28171850,neither
7567547,27504754,positive
7567547,27504754,neither
7567547,17173205,positive
7567547,17937582,positive
7567547,17937582,neither
7567547,25231754,positive
7567547,25231754,neither
7567547,1901933,positive
7567547,1901933,neither
7567547,21550729,positive
7567547,21550729,neither
11520919,34170250,positive
11520919,34170250,neither
11520919,35659068,positive
11520919,35659068,neither
11520919,34795404,positive
11520919,34795404,neither
11520919,36088755,positive
11520919,36088755,neither
11520919,35506356,positive
11520919,35506356,neither
11520919,34325825,positive
11520919,34325825,neither
11520919,34536276,positive
11520919,34536276,neither
11520919,35700677,positive
11520919,35700677,neither
11520919,32951993,positive
11520919,32951993,neither
11520919,17442599,positive
11520919,17442599,neither
11520919,33467561,positive
11520919,33467561,neither
11520919,37777291,positive
11520919,37777291,neither
11520919,37183177,positive
11520919,37183177,neither
11520919,35323164,positive
11520919,35323164,neither
11520919,26951400,positive
11520919,26951400,neither
11520919,25596383,positive
11520919,25596383,neither
11520919,4004706,positive
11520919,4004706,neither
11520919,20626615,positive
11520919,20626615,neither
11520919,29482814,positive
11520919,29482814,neither
11520919,33055430,positive
11520919,33055430,neither
11520919,33461366,positive
11520919,33461366,neither
11520919,38710132,positive
11520919,11033374,positive
11520919,16717171,positive
11520919,16717171,neither
11520919,16364141,positive
11520919,16364141,neither
11520919,11033374,neither
11520919,37776584,positive
11520919,37776584,neither
11520919,27031595,positive
11520919,27031595,neither
11520919,35853331,positive
11520919,35853331,neither
11520919,38735910,positive
11520919,38735910,neither
11520919,30648682,positive
11520919,30648682,neither
11520919,29795909,positive
11520919,29795909,neither
11520919,38250508,positive
11520919,38250508,negative
11520919,30853192,positive
11520919,30853192,neither
11520919,35053761,positive
11520919,37645455,positive
11520919,36908717,positive
11520919,36908717,neither
11520919,36747476,positive
11520919,36747476,neither
7850979,17956744,positive
7850979,17956744,neither
7850979,16254994,positive
7850979,16254994,neither
7850979,22131600,positive
7850979,22131600,neither
7850979,28449896,positive
7850979,28449896,neither
7850979,16335332,positive
7850979,16335332,neither
7850979,22526822,positive
7850979,22526822,neither
7850979,17915984,positive
7850979,27977219,positive
7850979,27977219,neither
7850979,22705242,positive
7850979,22705242,neither
7850979,26089709,positive
7850979,26089709,neither
7850979,17162985,positive
7850979,12042198,positive
7850979,12042198,neither
7850979,16452333,positive
7850979,16452333,neither
7850979,12127178,positive
7850979,12127178,neither
7850979,9302720,positive
7850979,9302720,neither
7850979,20808113,positive
7850979,20808113,neither
7850979,26249643,positive
7850979,26249643,neither
7850979,19467926,positive
7850979,19467926,neither
7850979,10940442,positive
7850979,10940442,negative
7850979,11318929,positive
7850979,11318929,neither
7850979,27990129,positive
7850979,24292341,positive
7850979,28574585,positive
7850979,28574585,neither
7850979,29747578,positive
7850979,29747578,neither
7850979,14691593,positive
7850979,14691593,neither
7850979,16496062,positive
7850979,16496062,neither
7850979,8991972,positive
7850979,15172205,positive
7850979,12776382,positive
7850979,12776382,neither
7850979,16768578,positive
7850979,16768578,neither
7850979,15586779,positive
7850979,15586779,neither
7850979,20679498,positive
7850979,20679498,negative
7850979,11568977,positive
7850979,3905939,positive
7850979,4040713,positive
7850979,4040713,neither
7850979,9358396,positive
7850979,11164054,positive
7850979,11164054,neither
7850979,18457234,positive
7850979,19531277,positive
7850979,6140318,positive
7850979,29559028,positive
7850979,18489206,positive
7850979,18489206,neither
7585267,16459140,positive
7585267,16459140,neither
7585267,23419741,positive
7585267,19896872,positive
7585267,19641160,positive
7585267,29576408,positive
7585267,29576408,neither
7585267,30410106,positive
7585267,30410106,neither
7585267,30069961,positive
7585267,30069961,neither
7585267,25728794,positive
7585267,25728794,neither
7585267,22433899,positive
7585267,22433899,neither
7585267,19403332,positive
7585267,19403332,neither
7585267,28041986,positive
7585267,28041986,neither
7585267,25451613,positive
7585267,25451613,neither
7585267,31036962,positive
7585267,31036962,neither
7585267,29256638,positive
7585267,29256638,neither
7585267,28337127,positive
7585267,28337127,neither
7585267,28345767,positive
7585267,28345767,neither
7585267,28109896,positive
7585267,28465478,positive
7585267,23066376,positive
7585267,31764734,positive
7585267,31764734,negative
7585267,25061767,positive
7585267,9720852,positive
7585267,9720852,neither
7585267,26083888,positive
7585267,26083888,neither
7585267,18561896,positive
7585267,18561896,neither
7585267,25061767,neither
7585267,22215923,positive
7585267,22215923,neither
7585267,26118561,positive
7585267,26118561,neither
7585267,23371889,positive
7585267,23371889,neither
7846869,30672873,positive
7846869,30672873,neither
7846869,15449219,positive
7846869,15449219,neither
7846869,23589584,positive
7846869,23589584,neither
7846869,9122568,positive
7846869,9122568,neither
7846869,30365900,positive
7846869,30365900,neither
7846869,11719309,positive
7846869,20957846,positive
7846869,20957846,neither
7846869,28424564,positive
7846869,28424564,neither
7846869,28522087,positive
7846869,28522087,neither
7846869,23036267,positive
7846869,23036267,neither
7846869,29891587,positive
7846869,29891587,neither
7846869,26298786,positive
7846869,26298786,neither
7846869,30694576,positive
7846869,30521757,positive
7846869,30521757,neither
7846869,30471270,positive
7846869,30471270,neither
7846869,31691827,positive
7846869,31691827,neither
7846869,27166238,positive
7846869,27166238,neither
7846869,30694576,neither
7846869,29031743,positive
7846869,29031743,neither
7846869,32588401,positive
7846869,31926465,positive
7846869,31926465,neither
7846869,32353246,positive
7846869,32353246,neither
7846869,33032062,positive
7846869,33032062,neither
7846869,27815038,positive
7846869,27815038,neither
7846869,27815038,negative
7846869,29047171,positive
